GAS1732058147744,2024-11-19T17:15:47.758621,1,REGULAR_87,12.00,41.88
GAS1732059396710,2024-11-19T17:36:36.724442400,8,PREMIUM_93,12.00,49.08
GAS1732060698725,2024-11-19T17:58:18.737627600,1,REGULAR_87,12.00,41.88
GAS1732060832084,2024-11-19T18:00:32.095090100,1,REGULAR_87,12.00,41.88
GAS1732061598482,2024-11-19T18:13:18.493486200,1,REGULAR_87,4.00,13.96
GAS1732061767203,2024-11-19T18:16:07.214462200,1,REGULAR_87,3.00,10.47
GAS1732061810988,2024-11-19T18:16:50.988743800,1,REGULAR_87,3.00,10.47
GAS1733253652681,2024-12-03T13:20:52.700886500,1,REGULAR_87,2.00,6.98
GAS1733254312522,2024-12-03T13:31:52.534306,1,REGULAR_87,2.00,6.98
GAS1733254686889,2024-12-03T13:38:06.889973300,1,REGULAR_87,1.00,3.49
